code,description
M2579,Osteophyte: Site unspecified
M258,Other specified joint disorders
M2580,Other specified joint disorders: Multiple sites
M2581,Other specified joint disorders: Shoulder region
M2582,Other specified joint disorders: Upper arm
M2583,Other specified joint disorders: Forearm
M2584,Other specified joint disorders: Hand
M2585,Other specified joint disorders: Pelvic region and thigh
M2586,Other specified joint disorders: Lower leg
M2587,Other specified joint disorders: Ankle and foot
M2588,Other specified joint disorders: Other
M2589,Other specified joint disorders: Site unspecified
M259,"Joint disorder, unspecified"
M2590,"Joint disorder, unspecified: Multiple sites"
M2591,"Joint disorder, unspecified: Shoulder region"
M2592,"Joint disorder, unspecified: Upper arm"
M2593,"Joint disorder, unspecified: Forearm"
M2594,"Joint disorder, unspecified: Hand"
M2595,"Joint disorder, unspecified: Pelvic region and thigh"
M2596,"Joint disorder, unspecified: Lower leg"
M2597,"Joint disorder, unspecified: Ankle and foot"
M2598,"Joint disorder, unspecified: Other"
M2599,"Joint disorder, unspecified: Site unspecified"
M300,Polyarteritis nodosa
M301,Polyarteritis with lung involvement [Churg-Strauss]
M302,Juvenile polyarteritis
M303,Mucocutaneous lymph node syndrome [Kawasaki]
M308,Other conditions related to polyarteritis nodosa
M310,Hypersensitivity angiitis
M311,Thrombotic microangiopathy
M312,Lethal midline granuloma
M313,Wegener granulomatosis
M314,Aortic arch syndrome [Takayasu]
M315,Giant cell arteritis with polymyalgia rheumatica
M316,Other giant cell arteritis
M317,Microscopic polyangiitis
M318,Other specified necrotizing vasculopathies
M319,"Necrotizing vasculopathy, unspecified"
M320,Drug-induced systemic lupus erythematosus
M321,Systemic lupus erythematosus with organ or system involvement
M328,Other forms of systemic lupus erythematosus
M329,"Systemic lupus erythematosus, unspecified"
M330,Juvenile dermatomyositis
M331,Other dermatomyositis
M332,Polymyositis
M339,"Dermatopolymyositis, unspecified"
M340,Progressive systemic sclerosis
M341,CR(E)ST syndrome
M342,Systemic sclerosis induced by drugs and chemicals
M348,Other forms of systemic sclerosis
M349,"Systemic sclerosis, unspecified"
M350,Sicca syndrome [Sjogren]
M351,Other overlap syndromes
M352,Behcet's disease
M353,Polymyalgia rheumatica
M354,Diffuse (eosinophilic) fasciitis
M355,Multifocal fibrosclerosis
M356,Relapsing panniculitis [Weber-Christian]
M357,Hypermobility syndrome
M358,Other specified systemic involvement of connective tissue
M359,"Systemic involvement of connective tissue, unspecified"
M360,Dermato(poly)myositis in neoplastic disease
M361,Arthropathy in neoplastic disease
M362,Haemophilic arthropathy
M363,Arthropathy in other blood disorders
M364,Arthropathy in hypersensitivity reactions classified elsewhere
M368,Systemic disorders of connective tissue in other diseases classified elsewhere
M400,Postural kyphosis
M4000,Postural kyphosis: Multiple sites in spine
M4001,Postural kyphosis: Occipito-atlanto-axial region
M4002,Postural kyphosis: Cervical region
M4003,Postural kyphosis: Cervicothoracic region
M4004,Postural kyphosis: Thoracic region
M4005,Postural kyphosis: Thoracolumbar region
M4006,Postural kyphosis: Lumbar region
M4007,Postural kyphosis: Lumbosacral region
M4008,Postural kyphosis: Sacral and sacrococcygeal region
M4009,Postural kyphosis: Site unspecified
M401,Other secondary kyphosis
M4010,Other secondary kyphosis: Multiple sites in spine
M4011,Other secondary kyphosis: Occipito-atlanto-axial region
M4012,Other secondary kyphosis: Cervical region
M4013,Other secondary kyphosis: Cervicothoracic region
M4014,Other secondary kyphosis: Thoracic region
M4015,Other secondary kyphosis: Thoracolumbar region
M4016,Other secondary kyphosis: Lumbar region
M4017,Other secondary kyphosis: Lumbosacral region
M4018,Other secondary kyphosis: Sacral and sacrococcygeal region
M4019,Other secondary kyphosis: Site unspecified
M402,Other and unspecified kyphosis
M4020,Other and unspecified kyphosis: Multiple sites in spine
M4021,Other and unspecified kyphosis: Occipito-atlanto-axial region
M4022,Other and unspecified kyphosis: Cervical region
M4023,Other and unspecified kyphosis: Cervicothoracic region
M4024,Other and unspecified kyphosis: Thoracic region
M4025,Other and unspecified kyphosis: Thoracolumbar region
M4026,Other and unspecified kyphosis: Lumbar region
M4027,Other and unspecified kyphosis: Lumbosacral region
M4028,Other and unspecified kyphosis: Sacral and sacrococcygeal region
M4029,Other and unspecified kyphosis: Site unspecified
M403,Flatback syndrome
M4030,Flatback syndrome: Multiple sites in spine
M4031,Flatback syndrome: Occipito-atlanto-axial region
M4032,Flatback syndrome: Cervical region
M4033,Flatback syndrome: Cervicothoracic region
M4034,Flatback syndrome: Thoracic region
M4035,Flatback syndrome: Thoracolumbar region
M4036,Flatback syndrome: Lumbar region
M4037,Flatback syndrome: Lumbosacral region
M4038,Flatback syndrome: Sacral and sacrococcygeal region
M4039,Flatback syndrome: Site unspecified
M404,Other lordosis
M4040,Other lordosis: Multiple sites in spine
M4041,Other lordosis: Occipito-atlanto-axial region
M4042,Other lordosis: Cervical region
M4043,Other lordosis: Cervicothoracic region
M4044,Other lordosis: Thoracic region
M4045,Other lordosis: Thoracolumbar region
M4046,Other lordosis: Lumbar region
M4047,Other lordosis: Lumbosacral region
M4048,Other lordosis: Sacral and sacrococcygeal region
M4049,Other lordosis: Site unspecified
M405,"Lordosis, unspecified"
M4050,"Lordosis, unspecified: Multiple sites in spine"
M4051,"Lordosis, unspecified: Occipito-atlanto-axial region"
M4052,"Lordosis, unspecified: Cervical region"
M4053,"Lordosis, unspecified: Cervicothoracic region"
M4054,"Lordosis, unspecified: Thoracic region"
M4055,"Lordosis, unspecified: Thoracolumbar region"
M4056,"Lordosis, unspecified: Lumbar region"
M4057,"Lordosis, unspecified: Lumbosacral region"
M4058,"Lordosis, unspecified: Sacral and sacrococcygeal region"
M4059,"Lordosis, unspecified: Site unspecified"
M410,Infantile idiopathic scoliosis
M4100,Infantile idiopathic scoliosis: Multiple sites in spine
M4101,Infantile idiopathic scoliosis: Occipito-atlanto-axial region
M4102,Infantile idiopathic scoliosis: Cervical region
M4103,Infantile idiopathic scoliosis: Cervicothoracic region
M4104,Infantile idiopathic scoliosis: Thoracic region
M4105,Infantile idiopathic scoliosis: Thoracolumbar region
M4106,Infantile idiopathic scoliosis: Lumbar region
M4107,Infantile idiopathic scoliosis: Lumbosacral region
M4108,Infantile idiopathic scoliosis: Sacral and sacrococcygeal region
M4109,Infantile idiopathic scoliosis: Site unspecified
M411,Juvenile idiopathic scoliosis
M4110,Juvenile idiopathic scoliosis: Multiple sites in spine
M4111,Juvenile idiopathic scoliosis: Occipito-atlanto-axial region
M4112,Juvenile idiopathic scoliosis: Cervical region
M4113,Juvenile idiopathic scoliosis: Cervicothoracic region
M4114,Juvenile idiopathic scoliosis: Thoracic region
M4115,Juvenile idiopathic scoliosis: Thoracolumbar region
M4116,Juvenile idiopathic scoliosis: Lumbar region
M4117,Juvenile idiopathic scoliosis: Lumbosacral region
M4118,Juvenile idiopathic scoliosis: Sacral and sacrococcygeal region
M4119,Juvenile idiopathic scoliosis: Site unspecified
M412,Other idiopathic scoliosis
M4120,Other idiopathic scoliosis: Multiple sites in spine
M4121,Other idiopathic scoliosis: Occipito-atlanto-axial region
M4122,Other idiopathic scoliosis: Cervical region
M4123,Other idiopathic scoliosis: Cervicothoracic region
M4124,Other idiopathic scoliosis: Thoracic region
M4125,Other idiopathic scoliosis: Thoracolumbar region
M4126,Other idiopathic scoliosis: Lumbar region
M4127,Other idiopathic scoliosis: Lumbosacral region
M4128,Other idiopathic scoliosis: Sacral and sacrococcygeal region
M4129,Other idiopathic scoliosis: Site unspecified
M413,Thoracogenic scoliosis
M4130,Thoracogenic scoliosis: Multiple sites in spine
M4133,Thoracogenic scoliosis: Cervicothoracic region
M4134,Thoracogenic scoliosis: Thoracic region
M4135,Thoracogenic scoliosis: Thoracolumbar region
M414,Neuromuscular scoliosis
M4140,Neuromuscular scoliosis: Multiple sites in spine
M4141,Neuromuscular scoliosis: Occipito-atlanto-axial region
M4142,Neuromuscular scoliosis: Cervical region
M4143,Neuromuscular scoliosis: Cervicothoracic region
M4144,Neuromuscular scoliosis: Thoracic region
M4145,Neuromuscular scoliosis: Thoracolumbar region
M4146,Neuromuscular scoliosis: Lumbar region
M4147,Neuromuscular scoliosis: Lumbosacral region
M4148,Neuromuscular scoliosis: Sacral and sacrococcygeal region
M4149,Neuromuscular scoliosis: Site unspecified
M415,Other secondary scoliosis
M4150,Other secondary scoliosis: Multiple sites in spine
M4151,Other secondary scoliosis: Occipito-atlanto-axial region
M4152,Other secondary scoliosis: Cervical region
M4153,Other secondary scoliosis: Cervicothoracic region
M4154,Other secondary scoliosis: Thoracic region
M4155,Other secondary scoliosis: Thoracolumbar region
M4156,Other secondary scoliosis: Lumbar region
M4157,Other secondary scoliosis: Lumbosacral region
M4158,Other secondary scoliosis: Sacral and sacrococcygeal region
M4159,Other secondary scoliosis: Site unspecified
M418,Other forms of scoliosis
M4180,Other forms of scoliosis: Multiple sites in spine
M4181,Other forms of scoliosis: Occipito-atlanto-axial region
M4182,Other forms of scoliosis: Cervical region
M4183,Other forms of scoliosis: Cervicothoracic region
M4184,Other forms of scoliosis: Thoracic region
M4185,Other forms of scoliosis: Thoracolumbar region
M4186,Other forms of scoliosis: Lumbar region
M4187,Other forms of scoliosis: Lumbosacral region
M4188,Other forms of scoliosis: Sacral and sacrococcygeal region
M4189,Other forms of scoliosis: Site unspecified
M419,"Scoliosis, unspecified"
M4190,"Scoliosis, unspecified: Multiple sites in spine"
M4191,"Scoliosis, unspecified: Occipito-atlanto-axial region"
M4192,"Scoliosis, unspecified: Cervical region"
M4193,"Scoliosis, unspecified: Cervicothoracic region"
M4194,"Scoliosis, unspecified: Thoracic region"
M4195,"Scoliosis, unspecified: Thoracolumbar region"
M4196,"Scoliosis, unspecified: Lumbar region"
M4197,"Scoliosis, unspecified: Lumbosacral region"
M4198,"Scoliosis, unspecified: Sacral and sacrococcygeal region"
M4199,"Scoliosis, unspecified: Site unspecified"
M420,Juvenile osteochondrosis of spine
M4200,Juvenile osteochondrosis of spine: Multiple sites in spine
M4201,Juvenile osteochondrosis of spine: Occipito-atlanto-axial region
M4202,Juvenile osteochondrosis of spine: Cervical region
M4203,Juvenile osteochondrosis of spine: Cervicothoracic region
M4204,Juvenile osteochondrosis of spine: Thoracic region
M4205,Juvenile osteochondrosis of spine: Thoracolumbar region
M4206,Juvenile osteochondrosis of spine: Lumbar region
M4207,Juvenile osteochondrosis of spine: Lumbosacral region
M4208,Juvenile osteochondrosis of spine: Sacral and sacrococcygeal region
M4209,Juvenile osteochondrosis of spine: Site unspecified
M421,Adult osteochondrosis of spine
M4210,Adult osteochondrosis of spine: Multiple sites in spine
M4211,Adult osteochondrosis of spine: Occipito-atlanto-axial region
M4212,Adult osteochondrosis of spine: Cervical region
M4213,Adult osteochondrosis of spine: Cervicothoracic region
M4214,Adult osteochondrosis of spine: Thoracic region
M4215,Adult osteochondrosis of spine: Thoracolumbar region
M4216,Adult osteochondrosis of spine: Lumbar region
M4217,Adult osteochondrosis of spine: Lumbosacral region
M4218,Adult osteochondrosis of spine: Sacral and sacrococcygeal region
M4219,Adult osteochondrosis of spine: Site unspecified
M429,"Spinal osteochondrosis, unspecified"
M4290,"Spinal osteochondrosis, unspecified: Multiple sites in spine"
M4291,"Spinal osteochondrosis, unspecified: Occipito-atlanto-axial region"
M4292,"Spinal osteochondrosis, unspecified: Cervical region"
M4293,"Spinal osteochondrosis, unspecified: Cervicothoracic region"
M4294,"Spinal osteochondrosis, unspecified: Thoracic region"
M4295,"Spinal osteochondrosis, unspecified: Thoracolumbar region"
M4296,"Spinal osteochondrosis, unspecified: Lumbar region"
M4297,"Spinal osteochondrosis, unspecified: Lumbosacral region"
M4298,"Spinal osteochondrosis, unspecified: Sacral and sacrococcygeal region"
M4299,"Spinal osteochondrosis, unspecified: Site unspecified"
M430,Spondylolysis
M4300,Spondylolysis: Multiple sites in spine
M4301,Spondylolysis: Occipito-atlanto-axial region
M4302,Spondylolysis: Cervical region
M4303,Spondylolysis: Cervicothoracic region
M4304,Spondylolysis: Thoracic region
M4305,Spondylolysis: Thoracolumbar region
M4306,Spondylolysis: Lumbar region
M4307,Spondylolysis: Lumbosacral region
M4308,Spondylolysis: Sacral and sacrococcygeal region
M4309,Spondylolysis: Site unspecified
M431,Spondylolisthesis
M4310,Spondylolisthesis: Multiple sites in spine
M4311,Spondylolisthesis: Occipito-atlanto-axial region
M4312,Spondylolisthesis: Cervical region
M4313,Spondylolisthesis: Cervicothoracic region
M4314,Spondylolisthesis: Thoracic region
M4315,Spondylolisthesis: Thoracolumbar region
M4316,Spondylolisthesis: Lumbar region
M4317,Spondylolisthesis: Lumbosacral region
M4318,Spondylolisthesis: Sacral and sacrococcygeal region
M4319,Spondylolisthesis: Site unspecified
M432,Other fusion of spine
M4320,Other fusion of spine: Multiple sites in spine
M4321,Other fusion of spine: Occipito-atlanto-axial region
M4322,Other fusion of spine: Cervical region
M4323,Other fusion of spine: Cervicothoracic region
M4324,Other fusion of spine: Thoracic region
M4325,Other fusion of spine: Thoracolumbar region
M4326,Other fusion of spine: Lumbar region
M4327,Other fusion of spine: Lumbosacral region
M4328,Other fusion of spine: Sacral and sacrococcygeal region
M4329,Other fusion of spine: Site unspecified
M433,Recurrent atlantoaxial subluxation with myelopathy
M4330,Recurrent atlantoaxial subluxation with myelopathy: Multiple sites in spine
M4331,Recurrent atlantoaxial subluxation with myelopathy: Occipito-atlanto-axial region
M4332,Recurrent atlantoaxial subluxation with myelopathy: Cervical region
M4333,Recurrent atlantoaxial subluxation with myelopathy: Cervicothoracic region
